time,action
1686076310,Plug-out
1686079888,Plug-in
1686084242,Plug-out
1686084936,Plug-in
1686105132,Plug-out
1686108806,Plug-in
1686127807,Plug-out
1686131521,Plug-in
1686132246,Plug-out
1686132250,Plug-in
